Rank,Tool Name,Category,Rating,Reviews,Favorites,URL,Tool ID
1,"Any Summary","Summarization",5.0,1,188,"https://www.anysummary.app/","6601d440a1b2b5ce0d242390"
2,"freebeat.ai 9.0 ","Music Video Generator",4.9,77,320,"https://freebeat.ai/?utm_source=opentools&utm_medium=referral&utm_campaign=opentools_20250306&utm_content=submittool","67e4b35b90b6f5d3e459702c"
3,"Claude","AI Assistant",5.0,6,141,"https://claude.ai/login?utm_source=opentools.ai&utm_medium=web","6697eeb9ef25c0746b60a23f"
4,"DraGan","Image Generation",5.0,14,69,"https://vcai.mpi-inf.mpg.de/projects/DragGAN/?utm_source=opentools.ai","669740b3ef25c0746b5f1213"
5,"Free Profile Picture Maker","Image Generation",5.0,5,110,"https://pfpmaker.com/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing","66972dd4ef25c0746b5dd864"
6,"i10X","Business",5.0,10,39,"https://i10x.ai/?el=opentools","68942e628baadbdf0b9bc216"
7,"Evoke Music","Music",5.0,6,88,"https://evokemusic.ai/?utm_source=opentools.ai&utm_medium=web","66973fa5ef25c0746b5f059f"
8,"Face Swap by Remaker","Image Editing",5.0,22,40,"https://remaker.ai/face-swap-free/","65f5136654bd27338f7f123c"
9,"Appear On AI","Marketing",5.0,4,96,"https://appearonai.com/","683f458b7e766f1aabebef74"
10,"Nume","Finance",5.0,5,81,"https://www.nume.ai/?utm_source=listing&utm_medium=organic&utm_campaign=waitlist-launch&utm_content=opentools","67db0ce0bb6fe48df53ab8b9"
11,"Deepfakes Web","Deep Fake Generator",4.5,2,173,"https://deepfakesweb.com/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing","669731a1ef25c0746b5e27ae"
12,"SaveDay","Productivity",5.0,4,83,"https://www.save.day/?utm_source=opentools.ai&utm_medium=web","66973b31ef25c0746b5ec51e"
13,"PDF.ai","Document Interaction",4.2,5,140,"https://pdf.ai/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing","66973764ef25c0746b5e7dfb"
14,"Magify.design","DesignApplication",5.0,2,107,"https://www.magify.design/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing","6697310aef25c0746b5e1e74"
15,"SnapDress","Clothes Remover",5.0,13,36,"https://snapdress.image2image.art/?utm_source=opentools.ai&utm_medium=web","6697d541ef25c0746b5f46e4"
16,"KreadoAI","ai-video-generator，text-to-video",5.0,4,62,"https://www.kreadoai.com/","675e3c51ef45804b2a3f7d97"
17,"SongR","Lyrics Generator",4.7,3,96,"https://app.songr.ai/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing","66973471ef25c0746b5e446f"
18,"ChartGPT","Chart Generator",5.0,2,75,"https://www.chartgpt.dev/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing","66972e80ef25c0746b5de7e1"
19,"Infinite Drum","Music Generation",5.0,2,69,"https://experiments.withgoogle.com/ai/drum-machine/view/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing","66973210ef25c0746b5e2e3b"
20,"Opinly.ai","Market Research",4.8,4,65,"https://www.opinly.ai/?utm_source=opentools.ai&utm_medium=web","66984234ab9798050c9f9c8f"
21,"LoveCore AI","Sex Chatbot",5.0,2,61,"https://lovecoreai.com?utm_source=opentools.ai&utm_medium=web","6699313f46403d98189afe04"
22,"Kadoa","Data Management",5.0,2,61,"https://www.kadoa.com/","65f481dca638ecee41d60069"
23,"Lingosync","Translation",5.0,1,78,"https://lingosync.ai/en?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing","66973409ef25c0746b5e3ecc"
24,"Fluig AI","Conversational AI",5.0,1,77,"https://www.fluig.cc/?hmsr=opentools","681468dd0577d3f5922d78d0"
25,"Pinbot","Utilities",5.0,2,56,"https://getpinbot.com/?utm_source=opentools.ai&utm_medium=web","66973b5fef25c0746b5ec895"
26,"Dora","Website Builder",3.7,7,160,"https://www.dora.run/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing","66972bcdef25c0746b5db62a"
27,"Rapli","Marketing",5.0,1,69,"https://rapli.co/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing","6697345cef25c0746b5e4236"
28,"Sloped","Data Analytics",5.0,1,69,"https://www.sloped.xyz/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing","66973430ef25c0746b5e410d"
29,"WebWhiz","Customer Support",5.0,3,42,"https://www.webwhiz.ai/?utm_source=opentools.ai&utm_medium=web","66973af1ef25c0746b5ebecc"
30,"Mixus AI","Conversational AI",5.0,1,22,"https://www.mixus.ai/","675c45e0b36af62553568127"
31,"Promptchan","Image Generation",5.0,5,28,"https://promptchan.ai/?utm_source=opentools.ai&utm_medium=web","6697d46aef25c0746b5f38e7"
32,"Rewriteit AI","Writing Assistance Tools",5.0,1,55,"https://rewriteit.ai/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing","66972be9ef25c0746b5db8e4"
33,"Picsart Creative APIs","Image Editing",5.0,1,52,"https://picsart.io","678f4f4c286ffdd84f248466"
34,"Cognosys","Productivity",5.0,1,49,"https://www.cognosys.ai/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing","66972aefef25c0746b5da4bc"
35,"Gamma App","Presentation Maker",5.0,2,39,"https://gamma.app/","6647779c9a0c9177d49fea16"
36,"Glasp YouTube Summarizer","Summarization",5.0,3,31,"https://glasp.co/youtube-summary","66972582ef25c0746b5d367d"
37,"Vocable AI","Content Marketing",5.0,9,17,"https://vocable.ai/?utm_source=standalone&utm_medium=webpage&utm_campaign=acq-opentools&utm_term=ot-webpage-01&utm_content=20231107","66987cddab9798050ca0836d"
38,"Tammy AI","AI Assistant",4.5,2,64,"https://tammy.ai/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing","66972be3ef25c0746b5db8a4"
39,"MurfAI","Text-To-Speech",5.0,2,33,"https://murf.ai/?lmref=oKMRNw","6697268def25c0746b5d4e47"
40,"DoNotPay","AI Assistant",5.0,1,42,"https://donotpay.com/","6696ae07ef25c0746b5c7b92"
41,"Guidde","Video Editing",5.0,1,40,"https://www.guidde.com/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing","66973040ef25c0746b5e0f94"
